"year","state","FTM","white","poor","turnout"
1984,"NH",73.6153869628906,1,0.117647059261799,1.80555558204651
1986,"NH",76.7333297729492,0.944444417953491,0.15384615957737,1.44444441795349
1988,"NH",66.3103485107422,0.935483872890472,0.0666666701436043,1.75999999046326
1990,"NH",72.6326522827148,0.959183692932129,0.0476190485060215,1.48979592323303
1992,"NH",50.6111106872559,0.914285719394684,0.0909090936183929,1.83333337306976
1994,"NH",52.6666679382324,1,0.28571429848671,1.60000002384186
1996,"NH",56.9444427490234,1,0.176470592617989,1.82352936267853
1998,"NH",41.8333320617676,1,0.0833333358168602,1.58333337306976
2000,"NH",41.75,0.947368443012238,0.111111111938953,1.82352936267853
2002,"NH",72.6153869628906,0.923076927661896,0,1.90909087657928
2004,"NH",51.6153831481934,0.916666686534882,0.16666667163372,1.90909087657928
1952,"NY",NA,0.926136374473572,0.127167627215385,1.87195122241974
1956,"NY",NA,0.910714268684387,0.079268291592598,1.80952382087708
1958,"NY",NA,0.891891896724701,0.0965517237782478,1.76027393341064
1960,"NY",NA,0.915966391563416,0.0588235296308994,1.89743590354919
1962,"NY",NA,0.888888895511627,0.17924527823925,1.69444441795349
1964,"NY",NA,0.899999976158142,0.154545456171036,1.84210526943207
1966,"NY",NA,0.871999979019165,0.173553720116615,1.61600005626678
1968,"NY",58.9793815612793,0.924369752407074,0.0782608687877655,1.74285709857941
1970,"NY",61.518985748291,0.860759496688843,0.0666666701436043,1.72151899337769
1972,"NY",62.6280479431152,0.833333313465118,0.15950919687748,1.8699187040329
1974,"NY",63.1234550476074,0.894117653369904,0.0750000029802322,1.63529407978058
1976,"NY",58.9541282653809,0.787610590457916,0.111111111938953,1.78651690483093
1978,"NY",63.4545440673828,0.818181812763214,0.189393937587738,1.49044585227966
1980,"NY",59.0833320617676,0.867768585681915,0.192982450127602,1.62745094299316
1982,"NY",47.934211730957,0.714285731315613,0.16666667163372,1.59740257263184
1984,"NY",59.4108123779297,0.779569864273071,0.105263158679008,1.75308644771576
1986,"NY",55.2482757568359,0.707482993602753,0.100840337574482,1.45890414714813
1988,"NY",57.2129020690918,0.75,0.100719422101974,1.70921981334686
1990,"NY",61.8516120910645,0.860759496688843,0.192592591047287,1.42405068874359
1992,"NY",49.5485725402832,0.765714287757874,0.128205135464668,1.77702701091766
